lat,lon,country
-89.53125,276.328125,Antarctica
-89.53125,277.734375,Antarctica
-89.53125,279.140625,Antarctica
-89.53125,280.546875,Antarctica
-89.53125,281.953125,Antarctica
-89.53125,283.359375,Antarctica
-89.53125,284.765625,Antarctica
-89.53125,286.171875,Antarctica
-89.53125,287.578125,Antarctica
-89.53125,288.984375,Antarctica
-89.53125,290.390625,Antarctica
-89.53125,291.796875,Antarctica
-89.53125,293.203125,Antarctica
-89.53125,294.609375,Antarctica
-89.53125,296.015625,Antarctica
-89.53125,297.421875,Antarctica
-89.53125,298.828125,Antarctica
-89.53125,300.234375,Antarctica
-89.53125,301.640625,Antarctica
-89.53125,303.046875,Antarctica
-89.53125,304.453125,Antarctica
-89.53125,305.859375,Antarctica
-89.53125,307.265625,Antarctica
-89.53125,308.671875,Antarctica
-89.53125,310.078125,Antarctica
-89.53125,311.484375,Antarctica
-89.53125,312.890625,Antarctica
-89.53125,314.296875,Antarctica
-89.53125,315.703125,Antarctica
-89.53125,317.109375,Antarctica
-89.53125,318.515625,Antarctica
-89.53125,319.921875,Antarctica
-89.53125,321.328125,Antarctica
-89.53125,322.734375,Antarctica
-89.53125,324.140625,Antarctica
-89.53125,325.546875,Antarctica
-89.53125,326.953125,Antarctica
-89.53125,328.359375,Antarctica
-89.53125,329.765625,Antarctica
-89.53125,331.171875,Antarctica
-89.53125,332.578125,Antarctica
-89.53125,333.984375,Antarctica
-89.53125,335.390625,Antarctica
-89.53125,336.796875,Antarctica
-89.53125,338.203125,Antarctica
-89.53125,339.609375,Antarctica
-89.53125,341.015625,Antarctica
-89.53125,342.421875,Antarctica
-89.53125,343.828125,Antarctica
-89.53125,345.234375,Antarctica
-89.53125,346.640625,Antarctica
-89.53125,348.046875,Antarctica
-89.53125,349.453125,Antarctica
-89.53125,350.859375,Antarctica
-89.53125,352.265625,Antarctica
-89.53125,353.671875,Antarctica
-89.53125,355.078125,Antarctica
-89.53125,356.484375,Antarctica
-89.53125,357.890625,Antarctica
-89.53125,359.296875,Antarctica
-88.59375,0.703125,Antarctica
-88.59375,2.109375,Antarctica
-88.59375,3.515625,Antarctica
-88.59375,4.921875,Antarctica
-88.59375,6.328125,Antarctica
-88.59375,7.734375,Antarctica
-88.59375,9.140625,Antarctica
-88.59375,10.546875,Antarctica
-88.59375,11.953125,Antarctica
-88.59375,13.359375,Antarctica
-88.59375,14.765625,Antarctica
-88.59375,16.171875,Antarctica
-88.59375,17.578125,Antarctica
-88.59375,18.984375,Antarctica
-88.59375,20.390625,Antarctica
-88.59375,21.796875,Antarctica
-88.59375,23.203125,Antarctica
-88.59375,24.609375,Antarctica
-88.59375,26.015625,Antarctica
-88.59375,27.421875,Antarctica
-88.59375,28.828125,Antarctica
-88.59375,30.234375,Antarctica
-88.59375,31.640625,Antarctica
-88.59375,33.046875,Antarctica
-88.59375,34.453125,Antarctica
-88.59375,35.859375,Antarctica
-88.59375,37.265625,Antarctica
