Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","399","Eggplants (aubergines)","1997","1997","ha","25","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","399","Eggplants (aubergines)","1998","1998","ha","24","F","FAO estimate"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","399","Eggplants (aubergines)","1999","1999","ha","26","F","FAO estimate"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","399","Eggplants (aubergines)","2000","2000","ha","33","F","FAO estimate"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","399","Eggplants (aubergines)","2001","2001","ha","34","F","FAO estimate"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","399","Eggplants (aubergines)","2002","2002","ha","36","F","FAO estimate"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","399","Eggplants (aubergines)","2003","2003","ha","39","F","FAO estimate"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","399","Eggplants (aubergines)","2004","2004","ha","41","F","FAO estimate"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","399","Eggplants (aubergines)","2005","2005","ha","34","F","FAO estimate"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","399","Eggplants (aubergines)","2006","2006","ha","34","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","399","Eggplants (aubergines)","2007","2007","ha","37","F","FAO estimate"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","399","Eggplants (aubergines)","2008","2008","ha","40","F","FAO estimate"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","399","Eggplants (aubergines)","2009","2009","ha","41","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","399","Eggplants (aubergines)","2010","2010","ha","43","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","399","Eggplants (aubergines)","2011","2011","ha","44","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","399","Eggplants (aubergines)","2012","2012","ha","42","F","FAO estimate"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","399","Eggplants (aubergines)","2013","2013","ha","50","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","399","Eggplants (aubergines)","2014","2014","ha","52","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","399","Eggplants (aubergines)","2015","2015","ha","58","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","619","Fruit, fresh nes","1990","1990","ha","524","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","619","Fruit, fresh nes","1991","1991","ha","505","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","619","Fruit, fresh nes","1992","1992","ha","520","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","619","Fruit, fresh nes","1993","1993","ha","517","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","619","Fruit, fresh nes","1994","1994","ha","523","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","619","Fruit, fresh nes","1995","1995","ha","550","F","FAO estimate"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","619","Fruit, fresh nes","1996","1996","ha","541","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","619","Fruit, fresh nes","1997","1997","ha","500","F","FAO estimate"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","619","Fruit, fresh nes","1998","1998","ha","425","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","619","Fruit, fresh nes","1999","1999","ha","700","F","FAO estimate"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","619","Fruit, fresh nes","2000","2000","ha","592","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","619","Fruit, fresh nes","2001","2001","ha","598","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","619","Fruit, fresh nes","2002","2002","ha","500","F","FAO estimate"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","619","Fruit, fresh nes","2003","2003","ha","600","F","FAO estimate"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","619","Fruit, fresh nes","2004","2004","ha","900","F","FAO estimate"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","619","Fruit, fresh nes","2005","2005","ha","699","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","619","Fruit, fresh nes","2006","2006","ha","715","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","619","Fruit, fresh nes","2007","2007","ha","729","Im","FAO data based on imputation methodology"
