,name,region,country-code,region-code,gfsi,surfacetempanomaly,precipitationflux,gdp,population,migration,tempstep,gfsi_hat
107,Uruguay,Americas,858,19.0,0.7732593961799137,0.6098187619512849,0.0801475074562817,0.1660272614501452,0.0010093278094312332,0.019202403506693864,-0.06,0.6064151269658857
108,Uzbekistan,Asia,860,142.0,0.43314849044978426,0.3955425685519256,0.13869760389315663,0.014436137128306999,0.022393482267861965,0.11182775227278553,-0.06,0.5832175283122196
109,Venezuela (Bolivarian Republic of),Americas,862,19.0,0.21380160197165732,0.9166154679716345,0.5969216667903102,0.1541354156773454,0.018861242229538635,0.2494703491719278,-0.06,0.5070419914968319
110,Yemen,Asia,887,142.0,0.0727048675292668,0.8367533211424809,0.18285099817943387,0.005160738451742,0.019251072573765633,0.0693868077938335,-0.06,0.42019767035667654
0,Algeria,Africa,12,2.0,0.5871842267406038,0.7326411494560942,0.2223783591611451,0.03490895920733067,0.0291042062668921,0.11001840998632777,-0.05,0.4810002457824637
1,Angola,Africa,24,2.0,0.17313616759088102,0.9313606777306563,0.7822283998991737,0.023342518605355734,0.021147312894199504,0.035664656087134365,-0.05,0.3771679620339204
2,Azerbaijan,Asia,31,142.0,0.5477510782501539,0.5772900176234177,0.2328813319605658,0.04246752012422153,0.005663684463492267,0.06362852773560969,-0.05,0.5310252313798526
3,Argentina,Americas,32,19.0,0.6149106592729513,0.5726196497507788,0.13982395767540715,0.09656102190754008,0.030447454204777364,0.05760429701564133,-0.05,0.5750718366976592
4,Australia,Oceania,36,9.0,0.829328404189772,0.7560499983428504,0.34647988318844397,0.5292930300769653,0.016543296822332732,0.031436339386362866,-0.05,0.8073651006418218
5,Austria,Europe,40,150.0,0.8915588416512631,0.38506291041453167,0.33157246474027774,0.48531804319666244,0.0048545674851691,0.03149208817325247,-0.05,0.901590290948015
6,Bangladesh,Asia,50,142.0,0.37584719654959947,0.8798219069316369,0.21628309722371644,0.015681725647659,0.1142728627483842,0.4071116140766042,-0.05,0.4613561543842397
7,Belgium,Europe,56,150.0,0.8539741219963032,0.35209393368234326,0.28451599631713903,0.4500970149278114,0.006705426683885099,0.0304550300029325,-0.05,0.8894555666206677
8,Bolivia (Plurinational State of),Americas,68,19.0,0.5372766481823783,0.8848183908940388,0.07200710366613196,0.030998022741576998,0.006724116577015433,0.04958707984791353,-0.05,0.4223728821474602
9,Botswana,Africa,72,2.0,0.45348120764017247,0.814587431174284,0.34716724053288733,0.06631009000459283,0.000187083946955,0.0022600576881349334,-0.05,0.45563477482155557
10,Brazil,Americas,76,19.0,0.658656808379544,0.8919882616220163,0.33477178208903413,0.07843106798351528,0.14833419195382813,0.1006827760303599,-0.05,0.46221880835285967
11,Bulgaria,Europe,100,150.0,0.6672828096118298,0.4887426995387359,0.3751891907741629,0.09323161630109583,0.0035053983366481333,0.08745074076410685,-0.05,0.594974981503052
12,Myanmar,Asia,104,142.0,0.4374614910659273,0.8974100204189553,0.31288752408300713,0.0107261402840437,0.036919111719896765,0.19701617551518505,-0.05,0.41653537340598523
13,Burundi,Africa,108,2.0,0.0800985828712261,0.9180566543173044,0.10432270198373234,6.929595385853333e-05,0.006737712624899267,0.028648115636841803,-0.05,0.385601031600408
14,Belarus,Europe,112,150.0,0.7523105360443623,0.3918438915331218,0.2787413293922309,0.06147359384890203,0.005233397678866866,0.08176341200953251,-0.05,0.6079882623300761
15,Cambodia,Asia,116,142.0,0.40110905730129387,0.9248560982357839,0.21887865467542564,0.013031009373343267,0.010253145103245133,0.06035432771015767,-0.05,0.39288863266593127
16,Cameroon,Africa,120,2.0,0.25385089340727046,0.9392305137305584,0.5602619993129371,0.0128899595803618,0.01692109121229207,0.0224696372683236,-0.05,0.37247058458195786
17,Canada,Americas,124,19.0,0.8508934072704867,0.04660304295762094,0.10687462839788807,0.4396962243621294,0.02521722284875923,0.07087678517047154,-0.05,0.9979515966933858
18,Sri Lanka,Asia,144,142.0,0.49291435613062223,0.9125343858390134,0.8127516033407763,0.0354075776721508,0.0140236533610174,0.10520554344272304,-0.05,0.3991462980538095
19,Chad,Africa,148,2.0,0.19963031423290198,0.8904361255571255,0.33060491814906723,0.0045781339986709,0.009873451345443733,0.010899083938174932,-0.05,0.38871861653008705
20,Chile,Americas,152,19.0,0.7732593961799137,0.5092444229735588,0.16746730044955038,0.14015945996084386,0.011990234344877332,0.03457394087670257,-0.05,0.622114033009782
21,China,Asia,156,142.0,0.7677141096734442,0.6056514900650315,0.3477372698784173,0.0967335240274126,0.9973137894552729,0.5824503827392343,-0.05,0.698127859790904
22,Colombia,Americas,170,19.0,0.6290819470117067,0.9453394489331555,0.5584679668376354,0.057796292745506565,0.0342503080249758,0.1645898049083809,-0.05,0.4211968143567346
23,"Congo, Democratic Republic of the",Africa,180,2.0,0.09611829944547128,0.9298017869828781,0.3300911912649734,0.0032488729000947,0.06016590959646023,0.09852851964129672,-0.05,0.3892913489307321
24,Costa Rica,Americas,188,19.0,0.7479975354282193,0.9417060599772605,0.5165298949219927,0.1189248043133142,0.0021346512054045,0.007074773186480701,-0.05,0.4448859387337279
25,Czechia,Europe,203,150.0,0.8780036968576709,0.3733867655768387,0.31167909562100604,0.2250526141743646,0.0061232616863604325,0.053971063596834006,-0.05,0.7252925912663877
26,Benin,Africa,204,2.0,0.2686383240911891,0.9388353197504758,0.6400691032956051,0.009958396781026434,0.006929979139440267,0.03646788684979683,-0.05,0.36885882300466183
27,Denmark,Europe,208,150.0,0.8576709796672827,0.32085055327157197,0.23078600118405412,0.589978801525007,0.0026784230892560336,0.012965991222955766,-0.05,0.9981112412982434
28,Dominican Republic,Americas,214,19.0,0.6426370918052987,0.8663155132190034,0.358133718840186,0.074390171886437,0.0061739758487518665,0.08719244738967369,-0.05,0.4544789902794697
29,Ecuador,Americas,218,19.0,0.5335797905113986,0.9092674609453233,0.5173084061362303,0.056594335038752996,0.0108791150405539,0.062018274919250105,-0.05,0.4193469487304985
30,El Salvador,Americas,222,19.0,0.5064695009242143,0.9315287342408732,0.4514163479052162,0.036793187187916535,0.0031329249211242334,0.08741942059137187,-0.05,0.40254464089507513
31,Ethiopia,Africa,231,2.0,0.16142945163277875,0.9069829371306534,0.5936705129330977,0.0060994988020615,0.07811069028070827,0.050640741258281996,-0.05,0.385794510294638
32,Finland,Europe,246,150.0,0.9876771410967344,0.07657546223645918,0.18111466112351282,0.47617447508833405,0.002471927640810067,0.015933806374396568,-0.05,1.0024974845747316
33,France,Europe,250,150.0,0.8823166974738138,0.38210462949753776,0.32437532563824417,0.3912406666793797,0.04628043761188074,0.1275111653520972,-0.05,0.8515717357361726
34,Germany,Europe,276,150.0,0.895871842267406,0.35651275716428615,0.2867432412095354,0.45555576505480094,0.05750176725495527,0.21227681295335107,-0.05,0.9183200949732309
35,Ghana,Africa,288,2.0,0.4060382008626,0.946618245497237,0.7255991425410219,0.019569104429446867,0.020143344387254267,0.053806786769537235,-0.05,0.37337802890400146
